mode,slice_name,slice_value,n,total_evaluated,TP,FP,TN,FN,skipped,precision,recall,f1,specificity,accuracy
Guardrails_Alert,by_context_family,smtp_email,1,1,1,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_context_family,smtp_email,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Scanner,by_context_family,ssh_deploy,6,6,6,0,0,0,0,1.0,1.0,1.0,0.0,1.0
LLM_Baseline,by_context_family,ssh_deploy,6,6,6,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_context_family,ssh_deploy,6,6,6,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_context_family,ssh_deploy,6,6,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
Scanner,by_context_family,sslconfig,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LLM_Baseline,by_context_family,sslconfig,1,1,1,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_context_family,sslconfig,1,1,1,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_context_family,sslconfig,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Scanner,by_context_family,stripe_payment,9,9,7,0,0,2,0,1.0,0.7778,0.875,0.0,0.7778
LLM_Baseline,by_context_family,stripe_payment,9,9,9,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_context_family,stripe_payment,9,9,9,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_context_family,stripe_payment,9,9,4,0,0,5,0,1.0,0.4444,0.6154,0.0,0.4444
Scanner,by_context_family,twilio_sms,10,10,10,0,0,0,0,1.0,1.0,1.0,0.0,1.0
LLM_Baseline,by_context_family,twilio_sms,10,10,10,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_context_family,twilio_sms,10,10,10,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_context_family,twilio_sms,10,10,4,0,0,6,0,1.0,0.4,0.5714,0.0,0.4
Scanner,by_context_family,unknown,96,96,46,10,40,0,0,0.8214,1.0,0.902,0.8,0.8958
LLM_Baseline,by_context_family,unknown,96,96,46,24,26,0,0,0.6571,1.0,0.7931,0.52,0.75
Guardrails_Alert,by_context_family,unknown,96,96,46,26,24,0,0,0.6389,1.0,0.7797,0.48,0.7292
Guardrails_Autonomous,by_context_family,unknown,96,96,25,0,50,21,0,1.0,0.5435,0.7042,1.0,0.7812
Scanner,by_secret_type,api_key,46,46,39,0,0,7,0,1.0,0.8478,0.9176,0.0,0.8478
LLM_Baseline,by_secret_type,api_key,46,46,46,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_secret_type,api_key,46,46,46,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_secret_type,api_key,46,46,28,0,0,18,0,1.0,0.6087,0.7568,0.0,0.6087
Scanner,by_secret_type,connection_string,6,6,6,0,0,0,0,1.0,1.0,1.0,0.0,1.0
LLM_Baseline,by_secret_type,connection_string,6,6,6,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_secret_type,connection_string,6,6,6,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_secret_type,connection_string,6,6,2,0,0,4,0,1.0,0.3333,0.5,0.0,0.3333
Scanner,by_secret_type,none,50,50,0,10,40,0,0,0.0,0.0,0.0,0.8,0.8
LLM_Baseline,by_secret_type,none,50,50,0,24,26,0,0,0.0,0.0,0.0,0.52,0.52
Guardrails_Alert,by_secret_type,none,50,50,0,26,24,0,0,0.0,0.0,0.0,0.48,0.48
Guardrails_Autonomous,by_secret_type,none,50,50,0,0,50,0,0,0.0,0.0,0.0,1.0,1.0
Scanner,by_secret_type,password,27,27,18,0,0,9,0,1.0,0.6667,0.8,0.0,0.6667
LLM_Baseline,by_secret_type,password,27,27,27,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_secret_type,password,27,27,27,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_secret_type,password,27,27,15,0,0,12,0,1.0,0.5556,0.7143,0.0,0.5556
Scanner,by_secret_type,private_key,10,10,10,0,0,0,0,1.0,1.0,1.0,0.0,1.0
LLM_Baseline,by_secret_type,private_key,10,10,10,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_secret_type,private_key,10,10,10,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_secret_type,private_key,10,10,1,0,0,9,0,1.0,0.1,0.1818,0.0,0.1
Scanner,by_secret_type,token,61,61,53,0,0,8,0,1.0,0.8689,0.9298,0.0,0.8689
LLM_Baseline,by_secret_type,token,61,61,61,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_secret_type,token,61,61,61,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_secret_type,token,61,61,34,0,0,27,0,1.0,0.5574,0.7158,0.0,0.5574
Scanner,by_high_risk_file,False,140,140,85,5,34,16,0,0.9444,0.8416,0.8901,0.8718,0.85
LLM_Baseline,by_high_risk_file,False,140,140,101,13,26,0,0,0.886,1.0,0.9395,0.6667,0.9071
Guardrails_Alert,by_high_risk_file,False,140,140,101,15,24,0,0,0.8707,1.0,0.9309,0.6154,0.8929
Guardrails_Autonomous,by_high_risk_file,False,140,140,57,0,39,44,0,1.0,0.5644,0.7215,1.0,0.6857
Scanner,by_high_risk_file,True,60,60,41,5,6,8,0,0.8913,0.8367,0.8632,0.5455,0.7833
LLM_Baseline,by_high_risk_file,True,60,60,49,11,0,0,0,0.8167,1.0,0.8991,0.0,0.8167
Guardrails_Alert,by_high_risk_file,True,60,60,49,11,0,0,0,0.8167,1.0,0.8991,0.0,0.8167
Guardrails_Autonomous,by_high_risk_file,True,60,60,23,0,11,26,0,1.0,0.4694,0.6389,1.0,0.5667
Scanner,by_obfuscation,False,173,173,110,10,39,14,0,0.9167,0.8871,0.9016,0.7959,0.8613
LLM_Baseline,by_obfuscation,False,173,173,124,24,25,0,0,0.8378,1.0,0.9118,0.5102,0.8613
Guardrails_Alert,by_obfuscation,False,173,173,124,26,23,0,0,0.8267,1.0,0.9051,0.4694,0.8497
Guardrails_Autonomous,by_obfuscation,False,173,173,69,0,49,55,0,1.0,0.5565,0.715,1.0,0.6821
Scanner,by_obfuscation,True,27,27,16,0,1,10,0,1.0,0.6154,0.7619,1.0,0.6296
LLM_Baseline,by_obfuscation,True,27,27,26,0,1,0,0,1.0,1.0,1.0,1.0,1.0
Guardrails_Alert,by_obfuscation,True,27,27,26,0,1,0,0,1.0,1.0,1.0,1.0,1.0
Guardrails_Autonomous,by_obfuscation,True,27,27,11,0,1,15,0,1.0,0.4231,0.5946,1.0,0.4444
